Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
Ctrl_1_1										19.168520585281726	5.3147499836825745	9.891238937583939	2.984896885787489	3.34319736085702	0.7259785388395594	3.094375444424703
Ctrl_1_2										18.46289782211508	5.14451341999016	9.522301810851108	2.8737253106676213	4.19003380708972	1.2661448559268162	2.1144803921349973
Ctrl_2_1										21.358152955872466	5.3110879870736385	9.70334032099699	2.953626764842241	3.1611270242749305	0.661892812226693	4.119932760215983
Ctrl_2_2										17.621988652387316	4.3893825810038996	8.531443782407768	2.336671341624539	3.665781288758068	1.3390585082941542	2.318411240599031
O1O2_KO_1_1										20.54162393918473	5.369561520521119	9.823363807457467	3.0325677236705593	3.6891739422011973	0.8746566085527744	5.199662551797914
O1O2_KO_1_2										18.479219209431772	4.7666980051308645	8.861530844649726	2.645330527670491	4.304838656428946	1.7066572047306858	3.166440952735111
O1O2_KO_2_1										20.59739813598302	5.496423879489395	9.856486780577557	3.2260782683602924	4.173144518974981	0.8351059378289715	5.177581066447335
O1O2_KO_2_2										19.076000928111768	4.932907087983391	9.253893953023255	3.06504099750279	4.771856316014104	1.7212196516742735	3.7399110036728946
O1W4_KO_1_1										20.931502846221292	5.709571657437744	10.172846018929194	3.0507956697044283	3.9758159932536	0.8131262614383097	5.48167885675368
O1W4_KO_1_2										19.780314621773147	5.071944707021935	9.910541212742869	3.0310427925799215	4.493673961967096	1.6714224398421411	3.768830123007928
O1W4_KO_2_1										20.691976517834814	5.879224209157983	10.70289469199159	3.4411581612356454	4.767808631143485	1.1703754437995806	6.4031849619919186
O1W4_KO_2_2										19.24516205131536	5.1944599840652	9.644343393255884	3.325796835591619	5.307927605903062	2.130394505770282	4.829914595816006
O1W4_OE_1_1										20.099405805890342	5.439779634352125	9.811458774768795	3.0579407362306146	3.9590526092254024	0.7817127143372975	5.39205333069137
O1W4_OE_1_2										18.12543909049614	4.760542971180962	8.983996104076382	2.8383861088281646	4.557090137466108	1.6229608929049597	3.8445341975106286
O1W4_OE_2_1										19.941473311860385	5.498237935677625	10.195417683888927	3.3162316552653963	4.477460784547664	0.9054692005839837	5.5057368191068665
O1W4_OE_2_2										18.698729334782417	5.033591476545101	9.56598352743373	3.2258872645855274	4.7672485245772975	1.9006798185039289	4.227706962053705
