Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
Ctrl_1_1	615.0	708.5	846.0	860.5	794.0	783.0	920.0	6313.5	10380.5	7543.0	12819.0	22878.0	33513.5	36358.5	55464.5	82771.5	67804.0	43478.0	33926.0	40692.0	58899.0	105042.5	206127.0	342981.5	323504.0	218993.5	224324.5	265663.0	316596.0	392624.5	466581.0	485234.0	498810.5	552977.5	659574.5	659142.0	575824.0	560482.5	579190.0	614317.5	633756.0	637762.0	656393.0	686783.0	723008.5	773722.0	824447.5	903431.5	1003109.0	1091959.5	1197521.5	1331159.5	1483948.5	1615910.0	1711111.5	1793554.5	1863258.0	1909930.5	1908623.0	1848738.0	1720494.5	1551455.0	1374862.5	1168702.0	947864.5	756491.0	591316.5	440560.5	320110.5	237358.0	170369.5	116823.5	79349.0	52252.5	34276.5	20960.0	12271.0	7551.5	4191.0	2426.0	1413.0	740.0	289.5	123.5	73.0	45.5	33.5	21.5	16.5	14.5	14.0	11.5	9.0	9.0	10.5	10.5	16.5	26.0	33.0	19.0	0.5
Ctrl_1_2	638.0	532.5	382.5	353.0	462.5	4093.5	13292.5	13179.5	19352.0	21934.0	14747.0	36281.0	47145.5	37733.0	56226.5	65875.5	64977.0	56813.5	61258.0	73676.0	66241.0	87173.0	134095.0	166864.5	180555.5	191741.0	226560.5	278778.0	336769.0	400764.0	445069.0	490268.5	560247.0	564801.5	544353.0	541817.5	538645.5	543586.0	556331.0	588183.0	611655.5	652483.5	693494.0	725824.5	777426.5	857572.5	937240.0	1056003.5	1155139.5	1213416.5	1320270.0	1462273.0	1591794.5	1672133.0	1765933.0	1861579.0	1912530.0	1932739.5	1875028.5	1778109.0	1653613.0	1472459.5	1264831.0	1054883.5	870190.0	700307.0	537193.0	394453.0	289338.0	212730.0	147197.5	99171.0	67331.0	45318.0	30299.5	18687.5	11477.0	7264.5	4315.5	2574.0	1753.5	998.5	552.5	351.5	261.0	214.5	206.0	184.5	168.0	173.0	174.5	158.0	153.0	171.0	187.5	199.5	201.5	225.5	271.5	358.5	1141.5
Ctrl_2_1	566.0	705.0	923.0	1003.5	961.5	888.5	912.5	2611.5	4994.5	5035.5	11009.5	19746.0	23434.5	24275.0	52809.5	91548.5	76141.0	47152.5	34626.0	35848.5	52715.0	109146.5	245405.5	429785.5	368878.0	208144.0	225045.0	267575.0	319501.5	419933.0	504389.5	513175.0	529435.0	593083.5	716536.5	718764.0	612742.0	571407.5	578573.0	610914.5	630729.0	630173.5	640739.0	668529.5	702553.5	751079.0	805813.0	887969.5	991986.0	1087391.5	1193163.0	1328968.0	1485886.0	1617558.5	1714529.0	1802574.5	1867910.5	1903974.0	1903148.0	1846355.0	1717759.0	1546894.5	1366677.0	1161395.5	941301.0	751157.5	589400.5	440088.0	319033.5	235891.5	168081.0	112925.5	75348.0	49825.0	33658.5	20651.5	12174.0	7975.0	4522.0	2521.0	1487.0	810.0	314.5	122.0	77.0	53.5	34.0	28.0	23.5	21.0	22.0	15.5	12.0	14.5	17.0	17.0	24.0	31.0	51.5	40.5	4.5
Ctrl_2_2	617.0	478.0	346.0	374.5	552.5	5968.5	24208.0	27194.0	40414.0	43905.0	26499.0	68671.0	89614.0	61046.0	58381.5	61649.5	70082.0	65839.5	76354.5	87985.0	75549.5	95647.5	144224.5	177781.5	188619.5	204543.5	250485.0	312814.0	366364.0	423075.5	464304.5	504696.5	567731.0	560751.5	534111.0	531412.5	532488.5	535183.0	544826.0	576487.5	596099.0	633836.5	674354.0	709311.0	760192.5	837129.0	916611.0	1024752.0	1122101.5	1196719.0	1305510.0	1447064.5	1582827.5	1672187.5	1771237.5	1869374.5	1921364.0	1939609.5	1886423.0	1791856.5	1664906.0	1481377.0	1271206.5	1061838.0	878230.0	711605.5	550291.0	405445.0	298221.5	217229.5	148562.5	99203.0	66909.5	45523.5	31199.0	19895.5	12476.5	7899.0	4889.0	2974.0	1995.0	1139.0	647.5	414.0	318.5	273.5	230.5	233.0	221.0	205.5	222.0	224.0	224.0	221.5	232.0	238.5	271.0	328.0	392.0	508.0	1966.0
O1O2_KO_1_1	425.0	672.0	946.0	994.0	976.0	881.5	888.0	2864.5	5047.5	4701.5	10585.0	18817.0	22025.0	23950.5	57070.0	106089.5	86622.5	46738.0	34135.5	35401.5	51630.5	111504.5	259405.5	466919.5	397071.0	208215.0	220240.5	262533.0	313793.0	418412.0	511441.5	517170.0	528024.5	584795.0	718885.5	716644.0	582701.5	530032.0	534277.5	570759.0	597109.0	592854.0	596068.5	627069.5	661655.5	707348.0	758620.0	837273.5	937303.5	1025919.0	1124979.5	1254609.0	1401704.0	1521855.5	1607818.5	1684431.5	1736872.5	1756507.5	1749660.5	1701102.0	1583946.5	1416842.5	1242710.5	1053339.5	850627.5	677256.5	527476.5	389793.5	280472.0	205605.0	147284.0	100477.5	66840.0	44806.5	30094.0	18984.0	12340.0	8162.5	4319.5	2305.0	1151.0	572.0	226.0	72.0	45.5	35.5	22.5	22.0	17.5	10.0	6.0	8.0	11.5	9.5	9.5	11.0	15.0	24.5	51.5	38.5	2.5
O1O2_KO_1_2	575.0	468.0	332.0	329.5	476.5	5330.0	22814.5	25462.5	39287.5	43577.0	28339.5	79390.0	100091.5	64468.5	63081.0	67172.0	77252.5	71195.0	82833.5	95625.5	78677.0	99296.5	154396.0	193489.5	201324.0	212769.0	262618.0	331782.5	384045.5	444636.5	486595.5	524157.5	599814.0	583023.5	532307.5	520555.5	517060.0	511727.0	514946.0	545646.5	560757.5	602177.0	647040.0	676442.0	722208.0	793820.5	865020.5	967604.5	1062715.0	1128487.5	1228207.5	1361647.5	1486847.0	1565990.5	1648435.5	1730701.0	1774694.5	1778507.5	1718218.0	1630111.0	1510035.0	1336997.0	1137788.5	944410.0	778090.5	627321.0	481833.0	350472.5	255990.5	185987.0	126357.5	84291.0	56819.5	39572.5	27452.0	17695.0	11746.0	7442.0	4345.0	2457.5	1597.0	818.0	430.0	259.0	211.0	203.0	190.5	170.0	151.5	148.5	139.0	131.5	130.0	134.5	149.0	145.0	162.0	184.5	212.0	277.0	887.0
O1O2_KO_2_1	350.0	581.0	910.5	990.0	935.0	896.0	947.5	5083.0	9108.5	7333.0	14406.0	25653.5	29901.5	32796.0	74331.0	119790.5	91527.5	49676.0	34801.5	38924.5	57123.5	124476.0	290761.5	519017.5	453912.5	246224.5	243552.5	292603.0	351068.0	458811.0	564054.5	570439.0	578277.5	658263.0	806531.5	789027.0	643998.5	595533.0	609663.5	653455.5	680016.0	677379.0	682193.0	721004.5	768675.5	822283.0	881309.5	978502.5	1098112.5	1200261.0	1318061.0	1471427.0	1648916.0	1800747.0	1903211.0	1992157.0	2065125.5	2097268.5	2090884.5	2033275.0	1896608.5	1704896.0	1499361.0	1272550.5	1028528.0	815549.0	632946.0	466659.5	335600.0	246808.5	176959.5	121311.0	82451.0	56011.0	37545.5	23648.0	15333.5	9736.0	4926.5	2565.5	1300.0	641.5	278.0	116.5	60.5	41.0	37.0	27.0	19.5	15.0	14.0	12.5	11.0	9.0	9.0	15.5	21.0	27.0	59.0	46.0	3.5
O1O2_KO_2_2	635.0	522.5	393.5	395.0	539.5	5411.0	22933.5	25246.5	37982.0	41770.5	25894.0	69438.0	87843.0	62687.5	69700.0	71678.0	86851.5	82982.0	90476.0	103340.5	83475.0	105051.0	169413.5	215852.0	220876.5	231861.0	285906.0	360040.5	428430.0	501562.0	549087.0	602589.0	688584.0	660333.5	603185.0	588247.5	579965.0	575024.0	580099.0	617304.5	638134.5	690246.0	743738.5	778294.5	834274.5	924286.0	1013703.0	1142980.5	1257214.5	1328237.5	1446137.5	1612056.0	1761409.0	1846056.0	1944432.0	2051295.0	2111973.0	2125957.0	2055965.5	1950532.5	1813184.0	1609841.5	1373513.5	1141169.5	937004.0	751035.0	575397.0	419342.0	305747.0	222860.0	152162.5	101710.0	69085.5	48995.5	33929.5	21749.5	14697.0	9139.5	5042.5	2786.5	1814.5	911.5	493.5	320.0	243.5	229.5	212.5	189.5	189.5	187.0	182.5	172.5	183.5	198.0	195.0	204.5	218.0	232.5	275.0	405.5	1860.5
O1W4_KO_1_1	777.0	1238.0	1810.0	1765.5	1440.0	1199.0	1148.5	4131.5	8161.0	7830.5	15186.0	27227.5	34007.0	34881.0	70494.0	113435.0	87990.5	49631.5	33619.0	36379.5	52974.0	114739.0	271188.0	478684.0	407784.0	216092.0	219666.5	260842.5	313455.0	423135.5	515351.5	509785.5	518753.0	601571.0	747384.5	730992.5	590160.5	537276.5	547047.0	583815.5	600266.5	594864.5	599800.5	630641.5	665058.5	710052.0	762597.0	844076.0	946886.0	1034294.0	1130210.5	1256148.0	1400236.0	1519690.0	1602236.5	1677286.0	1734473.5	1755801.0	1747615.5	1694664.0	1575731.5	1415546.0	1244997.5	1053040.0	852251.0	678491.5	525130.5	385366.0	275978.5	203735.0	147327.0	100329.0	66469.5	45249.0	32123.5	21010.5	12300.0	7150.0	3719.5	1910.0	887.5	471.0	198.0	60.0	43.0	30.0	23.0	22.5	20.0	15.5	8.5	5.0	9.0	10.0	8.0	9.0	15.0	21.5	42.0	31.5	2.5
