"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme03430","dme03430","Mismatch repair - Drosophila melanogaster (fruit fly)","3/37","19/3488",0.00094757179372373,0.0397980153363967,0.0309207637951954,"Pms2/tos/RfC3",3
"dme03460","dme03460","Fanconi anemia pathway - Drosophila melanogaster (fruit fly)","3/37","26/3488",0.00241575107952401,0.0507307726700041,0.0394148860343391,"Pms2/Ercc1/mms4",3
