"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme04080","dme04080","Neuroactive ligand-receptor interaction - Drosophila melanogaster (fruit fly)","17/206","67/3488",1.63329400972856e-07,1.64962694982585e-05,1.42698318744706e-05,"mAChR-A/5-HT1A/Rdl/deltaTry/gammaTry/epsilonTry/Dop1R1/mGluR/GABA-B-R2/CCKLR-17D3/GABA-B-R3/SIFaR/lambdaTry/kappaTry/Nmdar2/Dop2R/GABA-B-R1",17
"dme00790","dme00790","Folate biosynthesis - Drosophila melanogaster (fruit fly)","10/206","40/3488",7.37053974549073e-05,0.00372212257147282,0.00321976209934595,"Hn/Pcd/CG12116/Alp6/Alp7/Alp8/Alp10/GstO3/Alp5/Mocs1",10
"dme04512","dme04512","ECM-receptor interaction - Drosophila melanogaster (fruit fly)","5/206","11/3488",0.000236090872251126,0.00794839269912123,0.00687562891117313,"Col4a1/vkg/Hml/CG3168/Tsp",5
"dme00230","dme00230","Purine metabolism - Drosophila melanogaster (fruit fly)","13/206","92/3488",0.0025481775448141,0.045598987017439,0.0394446682902286,"ry/Ac76E/Gycalpha99B/dnk/nmdyn-D7/nmdyn-D6/Pde6/Gyc88E/CG34357/DhpD/Pde1c/Pde8/AOX1",13
"dme01240","dme01240","Biosynthesis of cofactors - Drosophila melanogaster (fruit fly)","17/206","138/3488",0.00270086947141368,0.045598987017439,0.0394446682902286,"v/Ugt37B1/nmdyn-D7/CG12116/nmdyn-D6/Alp6/Alp7/Alp8/Alp10/Hpd/Alp5/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/Mocs1/CG44243",17
"dme00410","dme00410","beta-Alanine metabolism - Drosophila melanogaster (fruit fly)","6/206","25/3488",0.00270885071390726,0.045598987017439,0.0394446682902286,"b/Aldh-III/CG9527/CG15093/Gabat/su(r)",6
"dme04142","dme04142","Lysosome - Drosophila melanogaster (fruit fly)","15/206","123/3488",0.00524340817410264,0.0756548893691953,0.0654440418722586,"LManIII/LManV/LManVI/CG17134/Vha100-5/CG4847/CG13510/CG7402/CG17283/CG13516/CG30269/Npc2e/CG33128/Npc1b/VhaAC45",15
"dme00730","dme00730","Thiamine metabolism - Drosophila melanogaster (fruit fly)","5/206","21/3488",0.00639582082460684,0.0807472379106614,0.06984909584768,"Alp6/Alp7/Alp8/Alp10/Alp5",5
"dme00983","dme00983","Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)","12/206","94/3488",0.00847572636399727,0.0951164847515249,0.0822789810774004,"ry/GstD7/Ugt37B1/nmdyn-D7/nmdyn-D6/Ugt303A1/Ugt35E2/Ugt37D1/Ugt37C2/GstE5/su(r)/AOX1",12
