"","counts","sample","condition"
"Ctrl_1",6503.14746129906,"Ctrl_1","Ctrl"
"Ctrl_2",5902.05757816341,"Ctrl_2","Ctrl"
"W4_OE_1",5981.70047431743,"W4_OE_1","W4_OE"
"W4_OE_2",5567.02322927832,"W4_OE_2","W4_OE"
"O1_OE_1",73470.1342850401,"O1_OE_1","O1_OE"
"O1_OE_2",66611.5044082133,"O1_OE_2","O1_OE"
"O1W4_OE_1",50768.9744475477,"O1W4_OE_1","O1W4_OE"
"O1W4_OE_2",48197.4260507423,"O1W4_OE_2","O1W4_OE"
"O2_KO_1",5151.28849000388,"O2_KO_1","O2_KO"
"O2_KO_2",3769.06927073858,"O2_KO_2","O2_KO"
"W4_KO_1",4021.30555821778,"W4_KO_1","W4_KO"
"W4_KO_2",4082.17245991134,"W4_KO_2","W4_KO"
"O1_KO_1",1874.54866777777,"O1_KO_1","O1_KO"
"O1_KO_2",1542.26688548802,"O1_KO_2","O1_KO"
"O1W4_KO_1",1725.45584569499,"O1W4_KO_1","O1W4_KO"
"O1W4_KO_2",1842.40699231098,"O1W4_KO_2","O1W4_KO"
"O2W4_KO_1",4112.10430596244,"O2W4_KO_1","O2W4_KO"
"O2W4_KO_2",4498.51158865495,"O2W4_KO_2","O2W4_KO"
"O1O2_KO_1",3034.45760546215,"O1O2_KO_1","O1O2_KO"
"O1O2_KO_2",2022.12971183441,"O1O2_KO_2","O1O2_KO"
